iter	Passed	Remaining
0	0	88
1	1	80
2	2	81
3	3	73
4	3	71
5	4	69
6	5	68
7	5	66
8	6	65
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	12	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	16	55
23	17	56
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
